Question ID,Question,Answers
1,"Could you indicate the measurements included in your offer to ensure compliance with local legislation, ability to support company compliance in terms of policies/procedures/guidelines?","All employees of Gi Group are experts in their workfield due to extensive training, schooling and experience. Most of the consultants and administration employees have their SEU certificate (which covers all temp and overall labor legislation), and are keeping up with the changes in legislation. Our Country Manager is part of the ABU committee, which is the confederation for temp agencies in The Netherlands. Gi Group is a member of the ABU and Vereninging Detacheren NL. \nGi Group is also being advised by consultancy partner Mazars and legal partner Advocaten van Nu. Besides, we have an attorney who is specialized in temp labor. Gi Group is audited on a regular base to check if we still meet the local legislation."
2,What policies and proceedures does your organisation have in place to ensure complaince with all relevant legislation?\r\n\r\nPlease list each relevant legislation and how your organisation ensures compliance.,"Gi Group has a dedicated Compliance Team committed to enhancing our compliance provisions and best practice processes in line with employment law changes and industry best practice. The team provides ongoing compliance training to our staff covering key areas such as GDPR, AWR, Diversity and Inclusion and Modern Slavery to ensure adherence to both internal process and legislative requirements.  \nIn the Netherlands specifically we work under the law “WAB” and regular employment law. When there are changes in legislation we are informed by ABU, the confederation for Temp agencies. Our software system My Solution will immediate be updated with the latest legislation and we will inform all our personnel by training on new the legislation."
3,How do you secure that all documents during the onboarding are signed and stored and uniform?,"In our Salesforce driven software, My Solution, we can upload the required documents which need to be signed by every worker. The system blocks if the documents are not signed. We will save the signed documents in our system."
4,What is you experience around working with co-vendors?,"Gi Group uses sub suppliers for two specific reasons:\n• Quality; in cases where a specific question (profile) requires a specialized supplier.\n• Quantity; When a volume request is so challenging at any given time, it takes multiple suppliers to meet it.\nGi Group works with a trusted selection of sub suppliers for both quality and quantity issues."
5,You must submit a proposal for a Service Level Agreement and the associated KPIs.,"The Service Level Agreement (SLA) is the most important document between Client and Gi Group and describes the cooperation and agreements between both parties. The purpose of an SLA is to make binding agreements about the quality parameters of the service and about the reports. Performance and services provided are continuously measured with Key Performance Indicators (KPIs) defined in the SLA. We believe that we need to measure key figures (KPIs) to manage our organization and to continue to learn. We do this Gi Group broadly, but also specifically for Client. We share the results monthly via an Excel export from our system and discuss them at regular consultation moments.\n\nGi Group proposes the following KPIs to Client:\n• Fulfillment rate (= the number of successful placements vs. number of applications)\n- 99% on forecast\n- 95% other\n• Complaints (= the number of complaints on an annual basis)\n-"
6,What advise can you give the Client around planning?,Gi Group advises Client on planning on matters such as:\n• Where are the bottlenecks?\n• Where and when is cross training / education necessary?\n• When should recruitments be set up to anticipate peak periods in time?\n• How can we improve forecasting together? (based on historical data)\n• What pool size is needed per target group?\n• What is the optimal pool composition?
7,What software does your company use to keep track of your customers data and reporting?,"Gi Group Netherlands Use My Solution in Sales Force. In this program it is possible to make a portal per customer with custom made reports which show live/actual data. For instance we can show you the average hourly rate, the average multiplier, the amount of hours per week per department. But we can also create a dashboard for specific KPI's at the Client."
8,How and where do you source the right candidates?,"Our recruiters have the right competences such as; empathy, listening skills and knowledge of the sector. Our recruitment team has all possible tools to reach the right target groups: \n• Extensive possibilities on Linkedin: Premium; Continuous posting of ""jobs""; Linkedin Recruiter;\n• Nationalevacaturebank.nl: CV database search; ‘Topbanen’; many advertisement opportunities; \n• Indeed: budgeted advertisements, CV database search; \n• Advertisement opportunities on topic related websites; \n• Multi-posting on diverse free jobboards; \n• UWV: Contacts with national en regional UWV offices; \n• Social Media: Instagram and Facebook campagnes.\n\nAccurate and continuous management of your own talent pools in our professional CRM system. The results of searching, hunting and farming through our ""purchasing channels"" are continuously measured, so that we know which ones are successful. This gives us insight into where we should focus more in order to achieve maximum results. \n\nWe regularly perform labor market analyzes and benchmarks so that we are always aware of the local and national labor market. In addition, we are constantly informed about new, innovative recruitment methods. We subject recruited candidates to a thorough competence-based interview, after which we request relevant references. We use these tools to create an extensive profile so that we get a true and fair view of the candidate before he or she comes to you for an interview."
9,How does your company manage different pools? (poolmanagement),"In order to make a planning system work, we will create a pool of candidates based on a medium and long term planning. From this pool we can fulfill new services, accommodate outflow and replace No Shows. If flexibility and the associated planning are not properly arranged, there is a risk that flex workers will not be deployed enough hours to meet their minimal financial need. A too high turnover is the result. We can make an important difference by securing his / her minimum income for the flex worker. The way in which Gi Group designs its flex pools takes these needs into account. As a counterpart to the above wish, when all flex workers from the flex pool are deployed almost all available hours, there is no longer any possibility to absorb unexpected peaks. The scalability is then gone. For example, we compensate for this by having part of the pool consist of part-timers who are less income-dependent, such as students, holiday workers, two-income earners, AOW beneficiaries and possibly subsidy candidates, the so-called layer model."
10,How could you work together with Client to reduce costs for both parties?,"We will work with Client Key Stakeholders to evaluate the existing processes to identify areas cost savings.  Gi Group´s Quality and Innovation review is designed to improve process efficiencies leading to financial savings.  These savings include time and money spent on recruiting and training new starters through attrition, reviewing shift patterns to reduce costs, improving productivity etc. \nOur top saving drivers are: Time-to-fill; Range and experience of Candidates needed at each period; Workers productivity; Communication and Operational Process; Training Programs opportunities and Our IT collaboration tools. Furthemore our Dedicated Account Team – guarantees a significant reduction in administration processes and a streamlined communication. The implementation of service outsourcing processes has a direct impact at reduction of the workload of client HR department."
11,How do you ensure that you attract the right candidates for our business?,"Our Recruitment Consultants are specialised for different types of industries and profiles and they know the market in their field. More than that, we have always at least a meeting/call with the client to calibrate the profile we are looking for, based on the Job Description received from our client. We know Candidate market as well as demographic figures. Direct search is also an important step to ensure that we find the right candidates."
12,"How do you would minimize the risks within temping around sickness, termination, attrition and performance?","Gi Group minimizes risk by firstly ensuring a thorough recruitment, selection and induction process.  Through this workers understand the expectations of them, not just the tasks they will undertake, but their personal conduct.  With regards to sickness levels, Gi Group investigates the reasons for sickness through back to work interviews.  Should issues arise the team will act upon the results and make recommendations for change.  This could be to any part of the process from recruitment to the way the workers clock in and out for their assignment. \nAny performance issues are handled by Gi Group, working in consultation with the hiring manager.  An action plan for improvement will be put into place with timescales for review. Should the worker fail to improve to the standard required then they will be replaced with another worker."
13,Do you have documented issue resolution and communication procedures?,"Gi Group are proud that client satisfaction with our service is consistently high.  Gi Group’s clients and agency workers are well supported throughout their engagement with us. Daily communication with both our agency workers and client hiring managers maximises our ability to manage and monitor operational and temporary worker performance and enables us to identify and correct any inadequacies in supply at a very early stage. Our recruitment processes and procedures are designed to identify candidates most closely aligned to our clients organisational and operational requirements, culture and values, further reducing the risk of assigning disengaged and under-committed candidates. \nIn the event that any performance issues arise with either an element of our delivery function or one of our temporary workers, we would request that the relevant Gi Group Account Manager be contacted immediately.  The Gi Group escalation route would typically follow the structure below. Issues can be raised in person, by telephone or by email.\nDedicated Account Consultant: Should a contract or temporary worker performance issue arise, the first point of contact for complaints escalation would be a relevant Account Consultant. Where possible our Account Consultant will attempt to immediately resolve your complaint. Should an immediate resolution not be possible, our Account Consultant will escalate the complaint to our allocated Account Manager.\nRegional Account Manager: Our Regional Account Manager will work with you to identify key issues and where relevant action an immediate performance improvement review. Should resolution still not be reached the complaint would then escalate to an Operations Manager.\nOperations Manager: At the point of issue escalation reaching an Operations Manager, our Executive Governance function will be enacted and representatives from the most senior levels of our organisation will work with you to ensure resolution is reached."
14,What is from your company's perspective the issues/trends affecting the temporary labour industry during covid and briefly describe you company's response?,"The labour market is currently effected by the Covid-19 pandemic. This has had a real impact on temporary recruitment and agencies have had to adapt to accommodate this situation.  At Gi Group we have risk assessments within each office with PPE for personnel.  Recruitment processes have been adapted to offer remote recruitment, minimizing face to face contact.  We continue to work with our clients to understand the needs of their business and the health and safety of the workers.  We are keeping all of our clients up to date with any changes as we receive advice from the local government."
15,Do you have documented issue resolution and communication procedures around escaltions?,"Gi Group are proud that client satisfaction with our service is consistently high.  Gi Group’s clients and agency workers are well supported throughout their engagement with us. Daily communication with both our agency workers and client hiring managers maximises our ability to manage and monitor operational and temporary worker performance and enables us to identify and correct any inadequacies in supply at a very early stage. Our recruitment processes and procedures are designed to identify candidates most closely aligned to our clients organisational and operational requirements, culture and values, further reducing the risk of assigning disengaged and under-committed candidates. \nIn the event that any performance issues arise with either an element of our delivery function or one of our temporary workers, we would request that the relevant Gi Group Account Manager be contacted immediately.  The Gi Group escalation route would typically follow the structure below. Issues can be raised in person, by telephone or by email.\nDedicated Account Consultant: Should a contract or temporary worker performance issue arise, the first point of contact for complaints escalation would be a relevant Account Consultant. Where possible our Account Consultant will attempt to immediately resolve your complaint. Should an immediate resolution not be possible, our Account Consultant will escalate the complaint to our allocated Account Manager.\nRegional Account Manager: Our Regional Account Manager will work with you to identify key issues and where relevant action an immediate performance improvement review. Should resolution still not be reached the complaint would then escalate to an Operations Manager.\nOperations Manager: At the point of issue escalation reaching an Operations Manager, our Executive Governance function will be enacted and representatives from the most senior levels of our organisation will work with you to ensure resolution is reached."
